연도,남구,달서구,달성군,동구,북구,서구,수성구,중구
2023 , 798 ," 4,907 "," 2,459 "," 1,949 "," 3,881 ", 741 ," 5,093 ", 626 
2024 , 753 ," 4,634 "," 2,322 "," 1,840 "," 3,665 ", 699 ," 4,809 ", 591 
2025 , 799 ," 4,913 "," 2,462 "," 1,951 "," 3,886 ", 742 ," 5,099 ", 627 
2026 , 796 ," 4,898 "," 2,454 "," 1,945 "," 3,873 ", 739 ," 5,083 ", 625 
2027 , 821 ," 5,049 "," 2,530 "," 2,005 "," 3,993 ", 762 ," 5,240 ", 644 
2028 , 736 ," 4,530 "," 2,269 "," 1,799 "," 3,582 ", 684 ," 4,701 ", 578 
2029 , 746 ," 4,592 "," 2,301 "," 1,823 "," 3,631 ", 693 ," 4,765 ", 586 
2030 , 740 ," 4,553 "," 2,281 "," 1,808 "," 3,601 ", 687 ," 4,725 ", 581 
2031 , 712 ," 4,379 "," 2,194 "," 1,739 "," 3,463 ", 661 ," 4,544 ", 559 
2032 , 646 ," 3,976 "," 1,992 "," 1,579 "," 3,144 ", 600 ," 4,126 ", 508 
2033 , 573 ," 3,524 "," 1,766 "," 1,400 "," 2,787 ", 532 ," 3,658 ", 450 
2034 , 523 ," 3,220 "," 1,613 "," 1,279 "," 2,546 ", 486 ," 3,341 ", 411 
2035 , 464 ," 2,853 "," 1,430 "," 1,133 "," 2,257 ", 431 ," 2,961 ", 364 
2036 , 415 ," 2,556 "," 1,280 "," 1,015 "," 2,021 ", 386 ," 2,652 ", 326 
2037 , 393 ," 2,418 "," 1,212 ", 960 ," 1,913 ", 365 ," 2,510 ", 309 
2038 , 325 ," 1,996 "," 1,000 ", 793 ," 1,579 ", 301 ," 2,072 ", 255 
2039 , 303 ," 1,865 ", 935 , 741 ," 1,475 ", 282 ," 1,936 ", 238 
2040 , 298 ," 1,832 ", 918 , 728 ," 1,449 ", 276 ," 1,901 ", 234 
2041 , 311 ," 1,912 ", 958 , 759 ," 1,512 ", 289 ," 1,985 ", 244 
2042 , 323 ," 1,988 ", 996 , 789 ," 1,572 ", 300 ," 2,063 ", 254 
